city_name,district_name,commune_name
Phnom Penh,Pur SenChey,Boeng Thum
Phnom Penh,Chamkar Mon,Boeng Trabaek
Takeo,Samraong,Boeng Tranh Khang Cheung
Takeo,Samraong,Boeng Tranh Khang Tboung
Kampot,Tuek Chhou,Boeng Tuk
Phnom Penh,Mean Chey,Boeng Tumpun
Battambang,Bavel,Boeung Pram
Takeo,Borei Cholsar,Borei Cholsar
Kampong Cham,Chamkar Leu,Bos Khnor
Kratie,Chetr Borei,Bos Leav
Svay Rieng,Rumduol,Bos Mon
Banteay Meanchey,Preah Netr Preah,Bos Sbov
Oddar Meanchey,Samraong,Bos Sbov
Battambang,Phnum Proek,Bour
Mondul Kiri,Pech Chreada,Bu Sra
Preah Sihanouk,Preah Sihanouk,Buon
Ratanak Kiri,Ou Chum,Cha Ung
Battambang,Banan,Chaeng Mean Chey
Kampong Thom,Baray,Chaeung Daeung
Kampong Chhnang,Baribour,Chak
Tboung Khmum,Ou Reang Ov,Chak
Phnom Penh,Mean Chey,Chak Angrae Kraom
Phnom Penh,Mean Chey,Chak Angrae Leu
Phnom Penh,Doun Penh,Chakto Mukh
Prey Veng,Kampong Trabaek,Cham
Kratie,Prek Prasab,Chamb├ók
Kampong Speu,Phnum Sruoch,Chambak
Svay Rieng,Svay Chrum,Chambak
Takeo,Bati,Chambak
Kampong Cham,Chamkar Leu,Chamkar Andoung
Stung Treng,Thala Barivat,Chamkar Leu
Preah Sihanouk,Kampong Seila,Chamkar Luong
Kampong Thom,Stoung,Chamna Kraom
Kampong Thom,Stoung,Chamna Leu
Banteay Meanchey,Mongkol Borei,Chamnaom
Takeo,Prey Kabbas,Champa
Kampot,Angkor Chey,Champei
Takeo,Bati,Champei
Preah Vihear,Sangkum Thmei,Chamraeun
Pursat,Pursat,Chamraeun Phal
Tboung Khmum,Memot,Chan Mul
Siemreap,Soutr Nikom,Chan Sa
Kampong Speu,Odongk,Chan Saen
Banteay Meanchey,Ou Chrov,Changha
Kratie,Chetr Borei,Changkrang
Siemreap,Kralanh,Chanleas Dai
Svay Rieng,Chantrea,Chantrea
Svay Rieng,Romeas Haek,Chantrei
Phnom Penh,Pur SenChey,Chaom Chau
Kampong Chhnang,Tuek Phos,Chaong Maong
Takeo,Prey Kabbas,Char
Siemreap,Angkor Chum,Char Chhuk
Kampong Cham,Batheay,Chbar Ampov
Phnom Penh,Chbar Ampov,Chbar Ampov Ti Pir
Kampong Speu,Chbar Mon,Chbar Mon
Prey Veng,Svay Antor,Chea Khlang
Prey Veng,Kamchay Mear,Cheach
Kampong Cham,Batheay,Chealea
Prey Veng,Kampong Trabaek,Cheang Daek
Takeo,Tram Kak,Cheang Tong
Svay Rieng,Svay Rieng,Chek
Phnom Penh,Dangkao,Cheung Aek
Kandal,Kandal Stueng,Cheung Kaeub
Preah Sihanouk,Prey Nob,Cheung Kou
Kampong Chhnang,Rolea B'ier,Cheung Kreav
Takeo,Samraong,Cheung Kuon
Prey Veng,Ba Phnum,Cheung Phnum
Kampong Cham,Batheay,Cheung Prey
Kampong Speu,Odongk,Cheung Roas
Oddar Meanchey,Chong Kal,Cheung Tien
Prey Veng,Prey Veng,Cheung Tuek
Kampong Thom,Kampong Svay,Chey
Takeo,Borei Cholsar,Chey Chouk
Phnom Penh,Doun Penh,Chey Chummeah
Prey Veng,Preah Sdach,Chey Kampok
Ratanak Kiri,Lumphat,Chey Otdam
Kandal,Khsach Kandal,Chey Thum
Kampong Cham,Chamkar Leu,Cheyyou
Preah Vihear,Chhaeb,Chhaeb Muoy
Preah Vihear,Chhaeb,Chhaeb Pir
Kandal,Angk Snuol,Chhak Chheu Neang
Phnom Penh,Chbar Ampov,Chhbar Ampov Ti Muoy
Kampong Chhnang,Sameakki Mean Chey,Chhean Laeung
Preah Vihear,Tbaeng Mean Chey,Chhean Mukh
Prey Veng,Ba Phnum,Chheu Kach
Kandal,Kaoh Thum,Chheu Kmau
Battambang,Banan,Chheu Teal
Kampong Thom,Sandan,Chheu Teal
Kandal,Kien Svay,Chheu Teal
Svay Rieng,Svay Chrum,Chheu Teal
Pursat,Krakor,Chheu Tom
Kratie,Chhloung,Chhloung
Battambang,Koas Krala,Chhnal Moan
Kampong Chhnang,Baribour,Chhnok Tru
Kampong Thom,Prasat Sambour,Chhuk
Kampot,Chhuk,Chhuk
Tboung Khmum,Krouch Chhmar,Chhuk
Kampong Thom,Baray,Chhuk Khsach
Kampong Chhnang,Kampong Tralach,Chhuk Sa
Kandal,Ponhea Lueu,Chhveang
Kampong Cham,Srei Santhor,Chi Bal
Koh Kong,Srae Ambel,Chi Kha Kraom
Koh Kong,Srae Ambel,Chi kha Leu
Takeo,Treang,Chi Khma
Siemreap,Chi Kraeng,Chi Kraeng
Koh Kong,Thma Bang,Chi Phat
Prey Veng,Me Sang,Chi Phoch
Kampong Chhnang,Tuek Phos,Chieb
Tboung Khmum,Tboung Khmum,Chikor
Tboung Khmum,Tboung Khmum,Chirou Ti Muoy
Tboung Khmum,Tboung Khmum,Chirou Ti Pir
Banteay Meanchey,Preah Netr Preah,Chnuor Mean Chey
Tboung Khmum,Memot,Choam
Tboung Khmum,Memot,Choam Kravien
Preah Vihear,Choam Ksant,Choam Ksant
Kampong Speu,Phnum Sruoch,Choam Sangkae
Tboung Khmum,Memot,Choam Ta Mau
Tboung Khmum,Tboung Khmum,Chob
Siemreap,Angkor Thum,Chob Ta Trav
Banteay Meanchey,Preah Netr Preah,Chob Vari
Kampong Chhnang,Chol Kiri,Chol Sar
Battambang,Battambang,Chomkar Somraong
Prey Veng,Kanhchriech,Chong Ampil
Tboung Khmum,Dambae,Chong Cheach
Kampong Thom,Baray,Chong Doung
Oddar Meanchey,Chong Kal,Chong Kal
Siemreap,Siem Reap,Chong Khnies
Mondul Kiri,Kaev Seima,Chong Phlah
Kampong Speu,Kong Pisei,Chongruk
Preah Vihear,Chey Saen,Chrach
Svay Rieng,Bavet,Chrak Mtes
Kampong Thom,Baray,Chraneang
Phnom Penh,Russey Keo,Chrang Chamreh Ti Muoy
Phnom Penh,Russey Keo,Chrang Chamreh Ti Pir
Kampong Chhnang,Kampong Leaeng,Chranouk
Siemreap,Siem Reap,Chreav
Kampong Chhnang,Kampong Tralach,Chres
Kampot,Chum Kiri,Chres
Prey Veng,Me Sang,Chres
Svay Rieng,Chantrea,Chres
Battambang,Thma Koul,Chrey
Battambang,Moung Ruessei,Chrey
Prey Veng,Kampong Trabaek,Chrey
Prey Veng,Svay Antor,Chrey
Kampong Chhnang,Rolea B'ier,Chrey Bak
Prey Veng,Sithor Kandal,Chrey Khmum
Kandal,Ponhea Lueu,Chrey Loas
Battambang,Sampov Lun,Chrey Seima
Svay Rieng,Romeas Haek,Chrey Thum
Kampong Cham,Prey Chhor,Chrey Vien
Kampong Thom,Santuk,Chroab
Kampong Thom,Baray,Chrolong
Kratie,Prek Prasab,Chrouy Banteay
Phnom Penh,Chraoy Chongvar,Chrouy Changvar
Siemreap,Srei Snam,Chrouy Neang Nguon
Koh Kong,Kaoh Kong,Chrouy Pras
Battambang,Thma Koul,Chrouy Sdau
Koh Kong,Srae Ambel,Chrouy Svay
Kandal,Kaoh Thum,Chrouy Ta Kaev
Svay Rieng,Rumduol,Chrung Popel
Kampot,Tuek Chhou,Chum Kriel
Tboung Khmum,Krouch Chhmar,Chumnik
Koh Kong,Thma Bang,Chumnoab
Kampong Speu,Odongk,Chumpu Proeks
Kampot,Chum Kiri,Chumpu Voan
Takeo,Samraong,Chumreah Pen
Kampot,Angkor Chey,Daeum Doung
Kandal,Kandal Stueng,Daeum Rues
Mondul Kiri,Ou Reang,Dak Dam
Siemreap,Soutr Nikom,Dam Daek
Tboung Khmum,Dambae,Dambae
Kampot,Angkor Chey,Dambouk Khpos
Kampong Speu,Phnum Sruoch,Dambouk Rung
Kandal,Angk Snuol,Damnak Ampil
Kampot,Kampong Trach,Damnak Kantuot Khang Cheung
Kampot,Kampong Trach,Damnak Kantuot Khang Tboung
Kampong Speu,Odongk,Damnak Reang
Kampot,Dang Tong,Damnak Sokram
Kampong Thom,Stueng Saen,Damrei Choan Khla
Kratie,Chhloung,Damrei Phong
Prey Veng,Svay Antor,Damrei Puon
Kampong Thom,Kampong Svay,Damrei Slab
Tboung Khmum,Ou Reang Ov,Damril
Kampot,Angkor Chey,Dan Koum
Siemreap,Soutr Nikom,Dan Run
Kampong Thom,Sandan,Dang Kambet
Kampong Cham,Stueng Trang,Dang Kdar
Koh Kong,Srae Ambel,Dang Peaeng
Kampot,Dang Tong,Dang Tong
Koh Kong,Khemara Phoumin,Dang Tong
Phnom Penh,Dangkao,Dangkao
Kampong Chhnang,Kampong Leaeng,Dar
Kratie,Chetr Borei,Dar
Tboung Khmum,Memot,Dar
Kampot,Chhuk,Dechou Akphivoadth
Kandal,Kien Svay,Dei Edth
Kandal,Ta Khmau,Doeum Mien
Battambang,Koas Krala,Doun Ba
Siemreap,Puok,Doun Kaev
Prey Veng,Kamchay Mear,Doun Koeng
Siemreap,Angkor Chum,Doun Peng
