city_name,district_name,commune_name
Mondul Kiri,Pech Chreada,Krang Teh
Phnom Penh,Saensokh,Krang Thnong
Takeo,Bati,Krang Thnong
Kandal,S'ang,Krang Yov
Prey Veng,Kamchay Mear,Kranhung
Svay Rieng,Svay Chrum,Kraol Kou
Pursat,Veal Veaeng,Krapeu Pir
Takeo,Kaoh Andaet,Krapum Chhuk
Svay Rieng,Romeas Haek,Krasang
Oddar Meanchey,Chong Kal,Krasang
Kampong Thom,Baray,Krava
Kampong Thom,Prasat Ballangk,Kraya
Kampong Thom,Santuk,Kraya
Kampong Cham,Prey Chhor,Krouch
Tboung Khmum,Krouch Chhmar,Krouch Chhmar
Siemreap,Kralanh,Krouch Kor
Svay Rieng,Svay Chrum,Kruos
Preah Vihear,Kuleaen,Kuleaen Cheung
Preah Vihear,Kuleaen,Kuleaen Tboung
Banteay Meanchey,Thma Puok,Kumru
Takeo,Tram Kak,Kus
Banteay Meanchey,Ou Chrov,Kuttasat
Ratanak Kiri,Ou Chum,L'ak
Kampot,Dang Tong,L'ang
Ratanak Kiri,Bar Kaev,La Minh
Ratanak Kiri,Ban Lung,Labansiek
Kampot,Chhuk,Lbaeuk
Ratanak Kiri,Lumphat,Lbang Muoy
Ratanak Kiri,Lumphat,Lbang Pir
Pursat,Phnum Kravanh,Leach
Siemreap,Angkor Thum,Leang Dai
Takeo,Tram Kak,Leay Bour
Preah Sihanouk,Preah Sihanouk,Lek Muoy
Kandal,Kaoh Thum,Leuk Daek
Tboung Khmum,Tboung Khmum,Lngieng
Pursat,Pursat,Lolok Sa
Kampong Chhnang,Kampong Tralach,Longveaek
Ratanak Kiri,Ou Ya Dav,Lum Choar
Takeo,Samraong,Lumchang
Kandal,Angk Snuol,Lumhach
Takeo,Bati,Lumpong
Oddar Meanchey,Anlong Veaeng,Lumtong
Ratanak Kiri,Bar Kaev,Lung Khung
Kampong Cham,Kaoh Soutin,Lve
Prey Veng,Sithor Kandal,Lve
Battambang,Bavel,Lvea
Kampong Cham,Prey Chhor,Lvea
Prey Veng,Preah Sdach,Lvea
Siemreap,Puok,Lvea
Siemreap,Varin,Lvea Krang
Kampong Cham,Chamkar Leu,Lvea Leu
Kandal,Lvea Aem,Lvea Sar
Siemreap,Chi Kraeng,Lveaeng Ruessei
Kampot,Tuek Chhou,Makprang
Banteay Meanchey,Malai,Malai
Ratanak Kiri,Andoung Meas,Malik
Prey Veng,Svay Antor,Me Bon
Kampong Cham,Batheay,Me Pring
Kampong Cham,Stueng Trang,Me Sar Chrey
Svay Rieng,Chantrea,Me Sar Thngak
Pursat,Bakan,Me Tuek
Battambang,Samlout,Mean Chey
Kampong Cham,Srei Santhor,Mean Chey
Kampong Speu,Odongk,Mean Chey
Kampong Thom,Sandan,Mean Chey
Kampot,Chhuk,Mean Chey
Siemreap,Prasat Bakong,Mean Chey
Kampong Thom,Sandan,Mean Rith
Kampot,Dang Tong,Mean Ritth
Kampong Chhnang,Baribour,Melum
Mondul Kiri,Kaev Seima,Memang
Tboung Khmum,Memot,Memong
Tboung Khmum,Memot,Memot
Prey Veng,Pea Reang,Mesar Prachan
Svay Rieng,Rumduol,Meun Chey
Kampong Cham,Prey Chhor,Mien
Tboung Khmum,Ou Reang Ov,Mien
Phnom Penh,Prampir Meakkakra,Mittapheap
Banteay Meanchey,Serei Saophoan,Mkak
Kandal,Angk Snuol,Mkak
Preah Vihear,Chhaeb,Mlu Prey Muoy
Preah Vihear,Chhaeb,Mlu Prey Pir
Kampong Cham,Kaoh Soutin,Moha Khnhoung
Kampong Cham,Kaoh Soutin,Moha Leaph
Kampong Speu,Kong Pisei,Moha Ruessei
Kampong Speu,Phnum Sruoch,Moha Sang
Tboung Khmum,Tboung Khmum,Mong Riev
Kampong Speu,Thpong,Monourom
Mondul Kiri,Saen Monourom,Monourom
Phnom Penh,Prampir Meakkakra,Monourom
Svay Rieng,Svay Teab,Monourom
Preah Vihear,Choam Ksant,Morokot
Battambang,Moung Ruessei,Moung
Siemreap,Srei Snam,Moung
Svay Rieng,Romeas Haek,Mream
Kampot,Angkor Chey,Mroum
Kampong Thom,Stoung,Msa Krang
Svay Rieng,Romeas Haek,Mukh Da
Siemreap,Puok,Mukh Paen
Battambang,Rukh Kiri,Mukh Reah
Banteay Meanchey,Phnum Srok,Nam Tau
Mondul Kiri,Kaoh Nheaek,Nang Khi Lik
Prey Veng,Peam Ro,Neak Loeang
Tboung Khmum,Dambae,Neang Teut
Kampot,Chhuk,Neareay
Kampong Thom,Sandan,Ngan
Takeo,Tram Kak,Nhaeng Nhang
Ratanak Kiri,Andoung Meas,Nhang
Svay Rieng,Kampong Rou,Nhor
Banteay Meanchey,Paoy Paet,Nimitt
Kampong Thom,Kampong Svay,Nipech
Phnom Penh,Chbar Ampov,Nirouth
Kampong Speu,Basedth,Nitean
Siemreap,Angkor Chum,Nokor Pheas
Siemreap,Siem Reap,Nokor Thum
Battambang,Sangkae,Norea
Phnom Penh,Chamkar Mon,Olympic
Battambang,Battambang,Omal
Takeo,Tram Kak,Otdam Soriya
Kampong Speu,Phnum Sruoch,Ou
Banteay Meanchey,Serei Saophoan,Ou Ambel
Pailin,Sala Krau,Ou Andoung
Preah Sihanouk,Kampong Seila,Ou Bak Roteh
Banteay Meanchey,Ou Chrov,Ou Beichoan
Battambang,Battambang,Ou Char
Preah Sihanouk,Prey Nob,Ou Chrov
Ratanak Kiri,Ou Chum,Ou Chum
Battambang,Kamrieng,Ou Da
Battambang,Sangkae,Ou Dambang Muoy
Battambang,Sangkae,Ou Dambang Pir
Kampong Thom,Stueng Saen,Ou Kanthor
Kep,Kaeb,Ou Krasar
Kratie,Sambour,Ou Krieng
Kampong Cham,Stueng Trang,Ou Mlu
Stung Treng,Siem Bouk,Ou Mreah
Preah Sihanouk,Prey Nob,Ou Oknha Heng
Banteay Meanchey,Mongkol Borei,Ou Prasat
Stung Treng,Thala Barivat,Ou Rai
Kampong Chhnang,Kampong Tralach,Ou Ruessei
Kratie,Kracheh,Ou Ruessei
Stung Treng,Siem Bouk,Ou Ruessei Kandal
Phnom Penh,Prampir Meakkakra,Ou Ruessei Ti Bei
Phnom Penh,Prampir Meakkakra,Ou Ruessei Ti Buon
Phnom Penh,Prampir Meakkakra,Ou Ruessei Ti Muoy
Phnom Penh,Prampir Meakkakra,Ou Ruessei Ti Pir
Battambang,Phnum Proek,Ou Rumduol
Banteay Meanchey,Malai,Ou Sampoar
Battambang,Samlout,Ou Samril
Pursat,Krakor,Ou Sandan
Pursat,Veal Veaeng,Ou Saom
Takeo,Tram Kak,Ou Saray
Oddar Meanchey,Samraong,Ou Smach
Banteay Meanchey,Malai,Ou Sralau
Kampong Cham,Kampong Siem,Ou Svay
Stung Treng,Thala Barivat,Ou Svay
Oddar Meanchey,Trapeang Prasat,Ou Svay
Battambang,Thma Koul,Ou Ta Ki
Pursat,Bakan,Ou Ta Paong
Pailin,Pailin,Ou Ta Vau
Preah Sihanouk,Stueng Hav,Ou Treh
Phnom Penh,Pur SenChey,Ovlaok
Ratanak Kiri,Veun Sai,Pa Kalan
Ratanak Kiri,Ou Ya Dav,Pa Te
Pailin,Pailin,Pailin
Koh Kong,Mondol Seima,Pak Khlang
Ratanak Kiri,Ou Ya Dav,Pak Nhai
Preah Vihear,Preah Vihear,Pal Hal
Banteay Meanchey,Paoy Paet,Paoy Paet
Kampong Cham,Cheung Prey,Pdau Chum
Takeo,Bati,Pea Ream
Siemreap,Angkor Thum,Peak Snaeng
Kampong Chhnang,Sameakki Mean Chey,Peam
Battambang,Aek Phnum,Peam Aek
Kampong Thom,Stoung,Peam Bang
Kampong Chhnang,Chol Kiri,Peam Chhkaok
Kampong Cham,Kang Meas,Peam Chi Kang
Tboung Khmum,Tboung Khmum,Peam Chileang
Kampong Cham,Stueng Trang,Peam Kaoh Snar
Koh Kong,Mondol Seima,Peam Krasaob
Prey Veng,Peam Ro,Peam Mean Chey
Prey Veng,Kampong Trabaek,Peam Montear
Kandal,Lvea Aem,Peam Oknha Ong
Kampong Cham,Kaoh Soutin,Peam Prathnuoh
Kandal,Leuk Daek,Peam Reang
Prey Veng,Peam Ro,Peam Ro
Prey Veng,Svay Antor,Pean Roung
Kampong Speu,Odongk,Peang Lvea
Kampong Chhnang,Kampong Tralach,Peani
Kampong Chhnang,Baribour,Pech Changvar
Battambang,Phnum Proek,Pech Chenda
Takeo,Kaoh Andaet,Pech Sar
Kampong Speu,Kong Pisei,Pechr Muni
Kandal,Angk Snuol,Peuk
Tboung Khmum,Krouch Chhmar,Peus Muoy
Tboung Khmum,Krouch Chhmar,Peus Pir
Kampong Cham,Batheay,Ph'av
Oddar Meanchey,Trapeang Prasat,Ph'av
Kampong Thom,Prasat Ballangk,Phan Nheum
Kampong Thom,Kampong Svay,Phat Sanday
Kampong Speu,Basedth,Pheakdei
Kampong Speu,Basedth,Pheari Mean Chey
Banteay Meanchey,Svay Chek,Phkoam
Phnom Penh,Pur SenChey,Phleung Chheh Roteh
Battambang,Rotonak Mondol,Phlov Meas
Kampong Chhnang,Kampong Leaeng,Phlov Tuk
Stung Treng,Sesan,Phluk
Koh Kong,Kiri Sakor,Phnhi Meas
Banteay Meanchey,Serei Saophoan,Phniet
Phnom Penh,Saensokh,Phnom Penh Thmei
Kampot,Kampong Trach,Phnom Prasat
Kampong Speu,Odongk,Phnom Touch
Kandal,Ponhea Lueu,Phnum Bat
Banteay Meanchey,Phnum Srok,Phnum Dei
Takeo,Kiri Vong,Phnum Den
Ratanak Kiri,Veun Sai,Phnum Kok
Kampot,Angkor Chey,Phnum Kong
Banteay Meanchey,Preah Netr Preah,Phnum Lieb
Preah Vihear,Kuleaen,Phnum Penh
Battambang,Phnum Proek,Phnum Proek
Battambang,Banan,Phnum Sampov
Preah Vihear,Sangkum Thmei,Phnum Tbaeng Muoy
Preah Vihear,Kuleaen,Phnum Tbaeng Pir
Banteay Meanchey,Mongkol Borei,Phnum Touch
Kampong Speu,Basedth,Phong
Kampong Chhnang,Baribour,Phsar
Phnom Penh,Doun Penh,Phsar Chas
Kampong Chhnang,Kampong Chhnang,Phsar Chhnang
Kandal,Ponhea Lueu,Phsar Daek
Phnom Penh,Tuol Kouk,Phsar Daeum Kor
Phnom Penh,Chamkar Mon,Phsar Daeum Thkov
Phnom Penh,Tuol Kouk,Phsar Depou Ti Bei
Phnom Penh,Tuol Kouk,Phsar Depou Ti Muoy
Phnom Penh,Tuol Kouk,Phsar Depou Ti Pir
Banteay Meanchey,Paoy Paet,Phsar Kandal
Phnom Penh,Doun Penh,Phsar Kandal Ti Muoy
Phnom Penh,Doun Penh,Phsar Kandal Ti Pir
Phnom Penh,Doun Penh,Phsar Thmei Ti Bei
Phnom Penh,Doun Penh,Phsar Thmei Ti Muoy
Phnom Penh,Doun Penh,Phsar Thmei Ti Pir
Kampong Cham,Srei Santhor,Phteah Kandal
Pursat,Pursat,Phteah Prey
Pursat,Phnum Kravanh,Phteah Rung
Banteay Meanchey,Thma Puok,Phum Thmei
Kandal,Kien Svay,Phum Thum
Kandal,Lvea Aem,Phum Thum
Preah Sihanouk,Preah Sihanouk,Pir
Kratie,Snuol,Pir Thnu
Kampong Speu,Samraong Tong,Pneay
Kampong Thom,Santuk,Pnov
Prey Veng,Sithor Kandal,Pnov Ti Muoy
Prey Veng,Sithor Kandal,Pnov Ti Pir
Ratanak Kiri,Veun Sai,Pong
Phnom Penh,Dangkao,Pong Tuek
Svay Rieng,Rumduol,Pong Tuek
Kep,Damnak Chang'aeur,Pong Tuek
Kampong Cham,Kaoh Soutin,Pongro
Kampong Chhnang,Rolea B'ier,Pongro
Kampong Thom,Baray,Pongro
Kratie,Chhloung,Pongro
Oddar Meanchey,Chong Kal,Pongro
Siemreap,Chi Kraeng,Pongro Kraom
Siemreap,Chi Kraeng,Pongro Leu
Kandal,Ponhea Lueu,Ponhea Lueu
Phnom Penh,Praek Pnov,Ponhea Pon
Banteay Meanchey,Phnum Srok,Ponley
Kampong Chhnang,Baribour,Ponley
Takeo,Angkor Borei,Ponley
Phnom Penh,Praek Pnov,Ponsang
Svay Rieng,Svay Teab,Popeaet
Kampong Chhnang,Baribour,Popel
Siemreap,Soutr Nikom,Popel
Takeo,Tram Kak,Popel
Tboung Khmum,Ponhea Kraek,Popel
Kampong Thom,Stoung,Popok
Prey Veng,Svay Antor,Popueus
Takeo,Bati,Pot Sar
Kampong Chhnang,Kampong Leaeng,Pou
Preah Vihear,Tbaeng Mean Chey,Pou
Kampong Speu,Basedth,Pou Angkrang
Kampong Speu,Basedth,Pou Chamraeun
Kampong Speu,Basedth,Pou Mreal
Prey Veng,Pur Rieng,Pou Rieng
Takeo,Prey Kabbas,Pou Rumchak
Svay Rieng,Svay Rieng,Pou Ta Hao
Prey Veng,Sithor Kandal,Pou Ti
Siemreap,Puok,Pou Treay
Kandal,Kaoh Thum,Pouthi Ban
Svay Rieng,Svay Chrum,Pouthi Reach
Ratanak Kiri,Ou Chum,Pouy
Banteay Meanchey,Phnum Srok,Poy Char
Kampong Thom,Stoung,Pralay
Koh Kong,Thma Bang,Pralay
Kampong Chhnang,Kampong Leaeng,Pralay Meas
Kampong Cham,Srei Santhor,Pram Yam
Pursat,Veal Veaeng,Pramaoy
Kampong Speu,Thpong,Prambei Mum
Takeo,Treang,Prambei Mum
Preah Vihear,Tbaeng Mean Chey,Prame
Kampot,Angkor Chey,Praphnum
Banteay Meanchey,Preah Netr Preah,Prasat
Kampong Thom,Santuk,Prasat
Kandal,S'ang,Prasat
Prey Veng,Kampong Trabaek,Prasat
Siemreap,Varin,Prasat
Svay Rieng,Bavet,Prasat
Kampot,Kampong Trach,Prasat Phnom Khyang
Kampong Chhnang,Rolea B'ier,Prasnoeb
Svay Rieng,Svay Teab,Prasoutr
Phnom Penh,Dangkao,Prateah Lang
Prey Veng,Kampong Trabaek,Pratheat
Tboung Khmum,Krouch Chhmar,Preaek A Chi
Phnom Penh,Chbar Ampov,Preaek Aeng
Kandal,S'ang,Preaek Ambel
Kandal,Khsach Kandal,Preaek Ampil
Kandal,Mukh Kampul,Preaek Anhchanh
Prey Veng,Pur Rieng,Preaek Anteah
Kampong Cham,Stueng Trang,Preaek Bak
Prey Veng,Sithor Kandal,Preaek Changkran
Battambang,Rukh Kiri,Preaek Chik
Prey Veng,Pur Rieng,Preaek Chrey
Kandal,Leuk Daek,Preaek Dach
Kandal,Mukh Kampul,Preaek Dambang
Kampong Cham,Srei Santhor,Preaek Dambouk
Phnom Penh,Dangkao,Preaek Kampues
Battambang,Aek Phnum,Preaek Khpob
Koh Kong,Kiri Sakor,Preaek Khsach
Prey Veng,Peam Ro,Preaek Khsay Ka
Prey Veng,Peam Ro,Preaek Khsay Kha
Kandal,Lvea Aem,Preaek Kmeng
Kampong Cham,Kang Meas,Preaek Koy
Kandal,S'ang,Preaek Koy
Kampong Cham,Kang Meas,Preaek Krabau
Prey Veng,Peam Chor,Preaek Krabau
Kampot,Kampong Trach,Preaek Kroes
Phnom Penh,Chraoy Chongvar,Preaek Lieb
Battambang,Aek Phnum,Preaek Luong
Kandal,Khsach Kandal,Preaek Luong
Stung Treng,Siem Pang,Preaek Meas
Battambang,Aek Phnum,Preaek Norint
Phnom Penh,Praek Pnov,Preaek Phnov
Takeo,Angkor Borei,Preaek Phtoul
Kampong Cham,Srei Santhor,Preaek Pou
Phnom Penh,Chbar Ampov,Preaek Pra
Kratie,Prek Prasab,Preaek Prasab
Kandal,Lvea Aem,Preaek Rey
Kandal,Kandal Stueng,Preaek Roka
Kandal,Lvea Aem,Preaek Ruessei
Kampong Cham,Srei Santhor,Preaek Rumdeng
Kratie,Chhloung,Preaek Saman
Prey Veng,Peam Chor,Preaek Sambuor
Kandal,Kaoh Thum,Preaek Sdei
Kandal,Kandal Stueng,Preaek Slaeng
Kandal,Khsach Kandal,Preaek Ta Kov
Kandal,Khsach Kandal,Preaek Ta Meak
Kampong Cham,Kaoh Soutin,Preaek Ta Nong
Prey Veng,Pur Rieng,Preaek Ta Sar
Phnom Penh,Chraoy Chongvar,Preaek Ta Sek
Kandal,Ponhea Lueu,Preaek Ta Teaen
Kandal,Kaoh Thum,Preaek Thmei
Phnom Penh,Chbar Ampov,Preaek Thmei
Kampot,Tuek Chhou,Preaek Tnoat
Kandal,Leuk Daek,Preaek Tonloab
Kampong Cham,Stueng Trang,Preah Andoung
Stung Treng,Stueng Traeng,Preah Bat
Takeo,Kiri Vong,Preah Bat Choan Chum
Siemreap,Banteay Srei,Preah Dak
Kampong Thom,Stoung,Preah Damrei
Kampong Speu,Basedth,Preah Khae
Preah Vihear,Tbaeng Mean Chey,Preah Khleang
Kampong Speu,Kong Pisei,Preah Nipean
Battambang,Koas Krala,Preah Phos
Banteay Meanchey,Serei Saophoan,Preah Ponlea
Svay Rieng,Kampong Rou,Preah Ponlea
Oddar Meanchey,Trapeang Prasat,Preah Pralay
Kandal,Khsach Kandal,Preah Prasab
Kandal,Kandal Stueng,Preah Putth
Stung Treng,Thala Barivat,Preah Rumkel
Prey Veng,Preah Sdach,Preah Sdach
Kampong Speu,Odongk,Preah Srae
Tboung Khmum,Ou Reang Ov,Preah Theat
Kampong Cham,Stueng Trang,Preak Kak
Banteay Meanchey,Preah Netr Preah,Preak Netr Preah
Prey Veng,Kanhchriech,Preal
Kandal,Kaoh Thum,PreaΓÇïek Chrey
Siemreap,Srei Snam,Prei
Kandal,Ta Khmau,Prek Ho
Battambang,Battambang,Prek Preah Sdach
Kandal,Ta Khmau,Prek Ruessey
Takeo,Kiri Vong,Prey Ampok
Svay Rieng,Bavet,Prey Angkunh
Kampong Cham,Cheung Prey,Prey Char
Battambang,Aek Phnum,Prey Chas
Svay Rieng,Svay Rieng,Prey Chhlak
Kampong Cham,Prey Chhor,Prey Chhor
Prey Veng,Kampong Trabaek,Prey Chhor
Siemreap,Puok,Prey Chruk
Prey Veng,Sithor Kandal,Prey Daeum Thnoeng
Takeo,Prey Kabbas,Prey Kabbas
Prey Veng,Peam Ro,Prey Kandieng
Prey Veng,Pur Rieng,Prey Kanlaong
Prey Veng,Svay Antor,Prey Khla
Takeo,Kaoh Andaet,Prey Khla
Kampot,Tuek Chhou,Prey Khmum
Prey Veng,Me Sang,Prey Khnes
Battambang,Bavel,Prey Khpos
Kampong Speu,Phnum Sruoch,Prey Kmeng
Svay Rieng,Chantrea,Prey Kokir
Kampong Speu,Odongk,Prey Krasang
Kampong Chhnang,Chol Kiri,Prey Kri
Kampong Thom,Kampong Svay,Prey Kuy
Takeo,Prey Kabbas,Prey Lvea
Kampong Chhnang,Rolea B'ier,Prey Mul
Kampong Speu,Kong Pisei,Prey Nheat
Pursat,Pursat,Prey Nhi
Preah Sihanouk,Prey Nob,Prey Nob
Takeo,Prey Kabbas,Prey Phdau
Takeo,Angkor Borei,Prey Phkoam
Prey Veng,Pea Reang,Prey Pnov
Prey Veng,Kampong Trabaek,Prey Poun
Kandal,Angk Snuol,Prey Puoch
Prey Veng,Me Sang,Prey Rumdeng
Takeo,Kiri Vong,Prey Rumdeng
Kampong Speu,Phnum Sruoch,Prey Rumduol
Phnom Penh,Dangkao,Prey Sa
Takeo,Treang,Prey Sloek
Prey Veng,Pea Reang,Prey Sniet
Prey Veng,Pea Reang,Prey Sralet
Battambang,Moung Ruessei,Prey Svay
Svay Rieng,Svay Teab,Prey Ta Ei
Kampong Thom,Stueng Saen,Prey Ta Hu
Kampot,Tuek Chhou,Prey Thnang
Svay Rieng,Kampong Rou,Prey Thum
Kep,Kaeb,Prey Thum
Kampot,Banteay Meas,Prey Tonle
Prey Veng,Me Sang,Prey Totueng
Battambang,Moung Ruessei,Prey Touch
Battambang,Rukh Kiri,Prey Tralach
Prey Veng,Sithor Kandal,Prey Tueng
Phnom Penh,Dangkao,Prey Veaeng
Kampong Speu,Kong Pisei,Prey Vihear
Takeo,Kaoh Andaet,Prey Yuthka
Kampong Cham,Cheung Prey,Pring Chrum
Preah Vihear,Choam Ksant,Pring Thum
Pursat,Phnum Kravanh,Prongil
Mondul Kiri,Pech Chreada,Pu Chrey
Kandal,Khsach Kandal,Puk Ruessei
Siemreap,Puok,Puok
Preah Vihear,Chey Saen,Putrea
Prey Veng,Pea Reang,Reab
Svay Rieng,Kampong Rou,Reach Montir
Prey Veng,Ba Phnum,Reaks Chey
Preah Vihear,Rovieng,Reaksa
Preah Vihear,Rovieng,Reaksmei
Kampong Speu,Aoral,Reaksmei Sameakki
Battambang,Rotonak Mondol,Reaksmei Songha
Preah Sihanouk,Prey Nob,Ream
Takeo,Kiri Vong,Ream Andaeuk
Battambang,Sangkae,Reang Kesei
Pursat,Kandieng,Reang Til
Prey Veng,Preah Sdach,Reathor
Kampong Cham,Kang Meas,Reay Pay
Siemreap,Puok,Reul
Preah Vihear,Rovieng,Rieb Roy
Preah Vihear,Rovieng,Rik Reay
Kampong Cham,Kampong Siem,Ro'ang
Preah Vihear,Sangkum Thmei,Ro'ang
Battambang,Moung Ruessei,Robas Mongkol
Preah Vihear,Rovieng,Robieb
Banteay Meanchey,Preah Netr Preah,Rohal
Preah Vihear,Rovieng,Rohas
Banteay Meanchey,Mongkol Borei,Rohat Tuek
Battambang,Sangkae,Roka
Kandal,Kandal Stueng,Roka
Prey Veng,Pea Reang,Roka
Kampong Cham,Kang Meas,Roka Ar
Kandal,Khsach Kandal,Roka Chonlueng
Kratie,Kracheh,Roka Kandal
Kampong Speu,Kong Pisei,Roka Kaoh
Tboung Khmum,Krouch Chhmar,Roka Khnor
Kandal,S'ang,Roka Khpos
Takeo,Doun Kaev,Roka Knong
Kandal,Mukh Kampul,Roka Kong Ti Muoy
Kandal,Mukh Kampul,Roka Kong Ti Pir
Kampong Cham,Kang Meas,Roka Koy
Takeo,Doun Kaev,Roka Krau
Tboung Khmum,Tboung Khmum,Roka Po Pram
Kampong Speu,Chbar Mon,Rokar Thum
Pursat,Phnum Kravanh,Rokat
Kampong Chhnang,Rolea B'ier,Rolea B'ier
Pursat,Pursat,Roleab
Kampong Speu,Samraong Tong,Roleang Chak
Kandal,Kandal Stueng,Roleang Kaen
Kampong Speu,Samraong Tong,Roleang Kreul
Banteay Meanchey,Svay Chek,Roluos
Phnom Penh,Dangkao,Roluos
Siemreap,Prasat Bakong,Roluos
Kratie,Sambour,Roluos Mean Chey
Svay Rieng,Svay Teab,Romeang Thkaol
Takeo,Kaoh Andaet,Romenh
Mondul Kiri,Saen Monourom,Romonea
Preah Vihear,Rovieng,Romoneiy
Preah Vihear,Rovieng,Romtum
Preah Vihear,Sangkum Thmei,Ronak Ser
Takeo,Treang,Roneam
Preah Vihear,Rovieng,Rotanak
Battambang,Battambang,Rottanak
Prey Veng,Ba Phnum,Roung Damrei
Siemreap,Kralanh,Roung Kou
Takeo,Samraong,Rovieng
Mondul Kiri,Kaoh Nheaek,Roya
Kandal,Mukh Kampul,Ruessei Chrouy
Koh Kong,Thma Bang,Ruessei Chrum
Phnom Penh,Russey Keo,Ruessei Kaev
Battambang,Moung Ruessei,Ruessei Krang
Banteay Meanchey,Mongkol Borei,Ruessei Kraok
Siemreap,Chi Kraeng,Ruessei Lok
Prey Veng,Sithor Kandal,Ruessei Sanh
Kampong Cham,Srei Santhor,Ruessei Srok
Prey Veng,Peam Chor,Ruessei Srok
Kampot,Kampong Trach,Ruessei Srok Khang Kaeut
Kampot,Kampong Trach,Ruessei Srok Khang Lech
Kampong Cham,Kampong Siem,Rumchek
Prey Veng,Preah Sdach,Rumchek
Siemreap,Banteay Srei,Rumchek
Tboung Khmum,Memot,Rumchek
Preah Vihear,Rovieng,Rumdaoh
Preah Vihear,Choam Ksant,Rumdaoh Srae
Prey Veng,Sithor Kandal,Rumlech
Pursat,Bakan,Rumlech
Siemreap,Banteay Srei,Run Ta Aek
Tboung Khmum,Memot,Rung
Battambang,Thma Koul,Rung Chrey
Kampong Speu,Thpong,Rung Roeang
Kampong Thom,Stoung,Rung Roeang
Preah Vihear,Rovieng,Rung Roeang
Preah Vihear,Rovieng,Ruos Roan
Kratie,Prek Prasab,Russey Keo
Preah Vihear,Chey Saen,S'ang
Kandal,S'ang,S'ang Phnum
Kampong Chhnang,Kampong Tralach,Saeb
Kampong Speu,Samraong Tong,Saen Dei
Mondul Kiri,Ou Reang,Saen Monourom
Siemreap,Kralanh,Saen Sokh
Ratanak Kiri,Bar Kaev,Saeung
Phnom Penh,Dangkao,Sak Sampov
Kampong Thom,Prasat Ballangk,Sakream
Siemreap,Siem Reap,Sala Kamreuk
Pailin,Sala Krau,Sala Krau
Kampong Thom,Prasat Ballangk,Sala Visai
Stung Treng,Thala Barivat,Sam Ang
Svay Rieng,Romeas Haek,Sambatt Mean Chey
Kratie,Chetr Borei,Sambok
Kampong Cham,Batheay,Sambour
Kampong Speu,Samraong Tong,Sambour
Kampong Thom,Prasat Sambour,Sambour
Kratie,Sambour,Sambour
Banteay Meanchey,Mongkol Borei,Sambuor
Kandal,Lvea Aem,Sambuor
Siemreap,Kralanh,Sambuor
Svay Rieng,Romeas Haek,Sambuor
Svay Rieng,Svay Teab,Sambuor
Takeo,Treang,Sambuor
Kampong Cham,Kampong Cham,Sambuor Meas
Kandal,Mukh Kampul,Sambuor Meas
Kampong Thom,Prasat Ballangk,Sameakki
Ratanak Kiri,Ou Chum,Sameakki
Preah Sihanouk,Prey Nob,Sameakki
Stung Treng,Stueng Traeng,Sameakki
Stung Treng,Sesan,Samkhuoy
Kampot,Angkor Chey,Samlanh
Svay Rieng,Kampong Rou,Samlei
Battambang,Samlout,Samlout
Kandal,Kaoh Thum,Sampeou Poun
Kampong Cham,Cheung Prey,Sampong Chey
Battambang,Sampov Lun,Sampov Lun
Kampong Thom,Stoung,Samprouch
Banteay Meanchey,Ou Chrov,Samraong
Kampong Cham,Prey Chhor,Samraong
Phnom Penh,Praek Pnov,Samraong
Prey Veng,Svay Antor,Samraong
Pursat,Phnum Kravanh,Samraong
Siemreap,Soutr Nikom,Samraong
Svay Rieng,Chantrea,Samraong
Takeo,Samraong,Samraong
Takeo,Tram Kak,Samraong
Oddar Meanchey,Samraong,Samraong
Battambang,Aek Phnum,Samraong Knong
Kampot,Banteay Meas,Samraong Kraom
Phnom Penh,Pur SenChey,Samraong Kraom
Kampot,Banteay Meas,Samraong Leu
Kandal,Angk Snuol,Samraong Leu
Kampong Chhnang,Kampong Leaeng,Samraong Saen
Kandal,Kien Svay,Samraong Thum
Siemreap,Puok,Samraong Yea
Preah Sihanouk,Prey Nob,Samrong
Kampong Speu,Samraong Tong,Samrong Tong
Svay Rieng,Kampong Rou,Samyaong
Kampong Thom,Kampong Svay,San Kor
Kampong Cham,Batheay,Sandaek
Kampong Thom,Sandan,Sandan
Kratie,Sambour,Sandan
Kandal,Leuk Daek,Sandar
Svay Rieng,Rumduol,Sangkae
Preah Vihear,Chhaeb,Sangkae Muoy
Preah Vihear,Chhaeb,Sangkae Pir
Kampong Speu,Aoral,Sangkae Satob
Svay Rieng,Svay Rieng,Sangkhoar
Siemreap,Chi Kraeng,Sangvaeuy
Kandal,Khsach Kandal,Sanlung
Takeo,Treang,Sanlung
Battambang,Sampov Lun,Santepheap
Stung Treng,Siem Pang,Santepheap
Pursat,Phnum Kravanh,Santreae
Kratie,Prek Prasab,Saob
Takeo,Kiri Vong,Saom
Ratanak Kiri,Ou Ya Dav,Saom Thum
Kandal,Lvea Aem,Sarikakaev
Banteay Meanchey,Svay Chek,Sarongk
Siemreap,Puok,Sasar Sdam
Kampot,Chhuk,Satv Pong
Kampot,Banteay Meas,Sdach Kong Khang Cheung
Kampot,Banteay Meas,Sdach Kong Khang Lech
Kampot,Banteay Meas,Sdach Kong Khang Tboung
Kampong Cham,Cheung Prey,Sdaeung Chey
Battambang,Rotonak Mondol,Sdau
